Last_name,First_name,SSN,test1,test2,test3,test4,final,Grade
Alfalfa,Aloysius,12345678,40,90,100,83,49,D-
Alfred,University,87654321,41,97,96,97,48,D+
Gerty,Gramma,68644082,41,80,60,40,44,C
Android,Electric,17343333,42,23,36,45,47,B-
Bumpkin,Fred,36206315,43,78,88,77,45,A-
Rubble,Betty,6633563,44,90,80,90,46,C-
Noshow,Cecil,47669365,45,11,-1,4,43,F
Buff,Bif,21518333,46,20,30,40,50,B+
Airpump,Andrew,80810234,49,90,100,83,80,A
Backus,Jim,26534803,48,30,97,96,97,A+
Carnivore,Art,35010247,44,50,80,60,40,D+
Dandy,Jim,67092589,47,20,23,36,45,C+
Elephant,Ima,66273412,45,10,78,88,77,B-
Franklin,Benny,98005872,50,40,90,80,90,B-
George,Boy,72294178,40,50,11,-1,4,B
Heffalump,Harvey,97594815,30,60,20,30,40,C
