Last_name,First_name,SSN,test1,test2,test3,test4,final,Grade,sum,New_Grade
Alfalfa,Aloysius,12345678,40,90,100,83,49,D-,63.625,C
Alfred,University,87654321,41,97,96,97,48,D+,65.375,C
Gerty,Gramma,68644082,41,80,60,40,44,C,49.625,F
Android,Electric,17343333,42,23,36,45,47,B-,41.75,F
Bumpkin,Fred,36206315,43,78,88,77,45,A-,58.25,D
Rubble,Betty,6633563,44,90,80,90,46,C-,61.0,C
Noshow,Cecil,47669365,45,11,-1,4,43,F,28.875,F
Buff,Bif,21518333,46,20,30,40,50,B+,42.0,F
Airpump,Andrew,80810234,49,90,100,83,80,A,80.25,A
Backus,Jim,26534803,48,30,97,96,97,A+,82.375,A
Carnivore,Art,35010247,44,50,80,60,40,D+,49.25,F
Dandy,Jim,67092589,47,20,23,36,45,C+,38.25,F
Elephant,Ima,66273412,45,10,78,88,77,B-,66.125,C
Franklin,Benny,98005872,50,40,90,80,90,B-,77.5,B
George,Boy,72294178,40,50,11,-1,4,B,14.5,F
Heffalump,Harvey,97594815,30,60,20,30,40,C,37.5,F
